       Product, Buy Price, Sell Price,    To Purchase,     Supplier 
Frozen Sausages,      2.25,      4.00,              1,    Mercadona 
Mosquito Repellent - Adults,      1.75,      5.00,              7,    Mercadona 
Mosquito Repellent - Kds,      1.75,      5.00,              7,    Mercadona 
      Tea pigs,      9.00,      4.50,              3,    Mercadona 
  Philadelphia,      1.11,      3.00,              7,    Mercadona 
    Psto (red),      1.50,      3.00,              2,    Mercadona 
Gluten free Spaghetti,      0.00,      4.00,              2,    Mercadona 
Jam and marmalade,      1.20,      3.00,              2,    Mercadona 
Jam and marmalade,      1.20,      3.00,              1,    Mercadona 
Muschroom Sache soup,      0.00,      1.00,              1,    Mercadona 
Jam and marmalade,      1.22,      3.00,              1,    Mercadona 
Chicken Nuggets,      0.00,      4.50,              3,    Mercadona 
     Spaghetti,      0.97,      2.00,              3,    Mercadona 
     Spaghetti,      0.97,      2.00,              2,    Mercadona 
         Honey,      3.39,      5.00,              2,    Mercadona 
Pasion fruit juice,      0.00,      2.00,              2,    Mercadona 
Frozen Fish Fingers,      0.00,      4.50,              3,    Mercadona 
Assorted Pizza,      2.00,      4.00,              1,    Mercadona 
Assorted Pizza,      2.00,      4.00,              1,    Mercadona 
Assorted Pizza,      2.00,      4.00,              1,    Mercadona 
Mushroom Sache Soup,      0.48,      1.00,              1,    Mercadona 
    Travel Set,      1.25,      2.50,              2,    Mercadona 
English breakfast tea lose,      2.43,      4.00,              2,           GM 
English breakfast tea bags,      2.43,      4.00,              2,           GM 
    Cheese Dip,      1.52,      2.00,              4,           GM 
Assorted biscuits,      0.80,      2.00,              4,           GM 
     Rice milk,      2.07,      4.00,              1,           GM 
Cereal-assorted,      2.50,      5.00,              2,           GM 
       Kit Kat,      0.41,      1.00,             11,           GM 
          M&Ms,      0.51,      1.00,             19,           GM 
Conditionor- Panene,      2.46,      4.00,              2,           GM 
Conditionor- Panene,      2.46,      4.00,              2,           GM 
Shampoo - Pantene,      2.62,      4.00,              2,           GM 
Cereal-assorted,      2.50,      5.00,              2,           GM 
Cereal-assorted,      2.50,      5.00,              3,           GM 
   Heinz beans,      0.99,      2.00,              1,           GM 
     Maltesers,      0.51,      1.00,              4,           GM 
Robinsons cordial juice to dilute,      0.00,      3.00,              2,           GM 
Cream crackers Jacobs',      0.73,      2.00,              4,           GM 
      Weetabix,      1.49,      3.00,              2,           GM 
Cereals Mini Corn Flakes (multipcack),      0.30,      1.00,              2,           GM 
